epoch;column1;column2;column3;column4;column5;column6;column7;column8;column9;column10;column11;column12;column13
1614419286;1.00;1.00;;;;25.93;35.51;99386.00;2.00;;;;
1614419296;1.00;1.00;;;;25.93;35.56;99384.00;2.00;;;;
1614419306;1.00;1.00;;;;25.93;35.73;99384.00;2.00;;;;
1614419316;1.00;1.00;;;;25.93;35.92;99387.00;2.00;;;;
1614419326;1.00;1.00;;;;25.94;36.07;99384.00;2.00;;;;
1614419336;1.00;1.00;;;;25.95;36.52;99385.00;2.00;;;;
1614419346;1.00;1.00;;;;25.96;36.78;99386.00;2.00;;;;
1614419356;1.00;1.00;;;;25.97;36.49;99384.00;2.00;;;;
1614419366;1.00;1.00;;;;25.97;36.30;99383.00;2.00;;;;
1614419376;1.00;1.00;;;;25.97;36.48;99383.00;2.00;;;;
1614419386;1.00;1.00;;;;25.98;36.59;99385.00;2.00;;;;
1614419396;1.00;1.00;;;;25.99;36.75;99383.00;2.00;;;;
1614419406;1.00;1.00;;;;25.99;36.50;99384.00;2.00;;;;
1614419416;1.00;1.00;;;;26.00;36.72;99385.00;2.00;;;;
1614419426;1.00;1.00;;;;26.01;36.53;99383.00;2.00;;;;
1614419436;1.00;1.00;;;;26.01;36.70;99383.00;2.00;;;;
1614419446;1.00;1.00;;;;26.01;36.29;99382.00;2.00;;;;
1614419456;1.00;1.00;;;;26.00;36.25;99385.00;2.00;;;;
1614419466;1.00;1.00;;;;26.01;37.70;99385.00;2.00;;;;
1614419476;1.00;1.00;;;;26.02;37.27;99386.00;2.00;;;;
1614419486;1.00;1.00;;;;26.03;36.97;99383.00;2.00;;;;
1614419496;1.00;1.00;;;;26.03;36.37;99382.00;2.00;;;;
1614419506;1.00;1.00;;;;26.03;36.32;99386.00;2.00;;;;
1614419516;1.00;1.00;;;;26.04;36.44;99385.00;2.00;;;;
1614419526;1.00;1.00;;;;26.05;36.61;99383.00;2.00;;;;
1614419536;1.00;1.00;;;;26.06;36.58;99386.00;2.00;;;;
1614419546;1.00;1.00;;;;26.05;36.76;99384.00;2.00;;;;
1614419556;1.00;1.00;;;;26.06;36.69;99385.00;2.00;;;;
1614419566;1.00;1.00;;;;26.06;36.63;99385.00;2.00;;;;
1614419576;1.00;1.00;;;;26.06;37.15;99383.00;2.00;;;;
1614419586;1.00;1.00;;;;26.06;37.25;99383.00;2.00;;;;
1614419596;1.00;1.00;;;;26.07;37.29;99381.00;2.00;;;;
1614419606;1.00;1.00;;;;26.08;37.05;99382.00;2.00;;;;
1614419616;1.00;1.00;;;;26.09;36.88;99382.00;2.00;;;;
1614419626;1.00;1.00;;;;26.09;36.92;99384.00;2.00;;;;
1614419636;1.00;1.00;;;;26.09;36.88;99383.00;2.00;;;;
1614419646;1.00;1.00;;;;26.10;36.80;99381.00;2.00;;;;
1614419656;1.00;1.00;;;;26.10;37.63;99380.00;2.00;;;;
1614419666;1.00;1.00;;;;26.11;36.96;99380.00;2.00;;;;
1614419676;1.00;1.00;;;;26.11;36.97;99381.00;2.00;;;;
1614419686;1.00;1.00;;;;26.11;36.87;99380.00;2.00;;;;
1614419696;1.00;1.00;;;;26.11;36.62;99380.00;2.00;;;;
1614419706;1.00;1.00;;;;26.11;36.54;99379.00;2.00;;;;
1614419716;1.00;1.00;;;;26.11;36.45;99378.00;2.00;;;;
1614419726;1.00;1.00;;;;26.11;36.62;99380.00;2.00;;;;
1614419736;1.00;1.00;;;;26.11;36.73;99381.00;2.00;;;;
1614419746;1.00;1.00;;;;26.11;36.80;99381.00;2.00;;;;
1614419756;1.00;1.00;;;;26.11;36.52;99380.00;2.00;;;;
1614419766;1.00;1.00;;;;26.10;36.62;99379.00;2.00;;;;
1614419776;1.00;1.00;;;;26.09;37.20;99379.00;2.00;;;;
1614419786;1.00;1.00;;;;26.10;37.16;99378.00;2.00;;;;
1614419796;1.00;1.00;;;;26.12;37.09;99378.00;2.00;;;;
1614419806;1.00;1.00;;;;26.13;36.99;99376.00;2.00;;;;
